,start_time,end_time,start_frame,end_frame
278,00:20:05.333,00:20:05.833,36160,36175
279,00:20:05.833,00:20:06.333,36175,36190
280,00:20:06.333,00:20:06.833,36190,36205
281,00:20:06.833,00:20:19.233,36205,36577
282,00:20:19.233,00:20:19.900,36577,36597
283,00:20:19.900,00:20:23.933,36597,36718
284,00:20:23.933,00:20:25.067,36718,36752
285,00:20:25.067,00:20:28.200,36752,36846
286,00:20:28.200,00:20:32.300,36846,36969
287,00:20:32.300,00:21:10.700,36969,38121
288,00:21:10.700,00:21:11.500,38121,38145
289,00:21:11.500,00:21:12.467,38145,38174
290,00:21:12.467,00:21:13.767,38174,38213
291,00:21:13.767,00:21:15.033,38213,38251
292,00:21:15.033,00:21:16.033,38251,38281
293,00:21:16.033,00:21:16.567,38281,38297
294,00:21:16.567,00:21:19.667,38297,38390
295,00:21:19.667,00:21:21.200,38390,38436
296,00:21:21.200,00:21:31.200,38436,38736
297,00:21:31.200,00:21:31.700,38736,38751
298,00:21:31.700,00:21:32.333,38751,38770
299,00:21:32.333,00:21:43.133,38770,39094
300,00:21:43.133,00:21:43.633,39094,39109
301,00:21:43.633,00:21:44.400,39109,39132
302,00:21:44.400,00:21:44.933,39132,39148
303,00:21:44.933,00:21:45.433,39148,39163
304,00:21:45.433,00:21:46.033,39163,39181
305,00:21:46.033,00:21:46.567,39181,39197
306,00:21:46.567,00:21:47.333,39197,39220
307,00:21:47.333,00:21:47.867,39220,39236
308,00:21:47.867,00:21:48.367,39236,39251
309,00:21:48.367,00:21:49.000,39251,39270
310,00:21:49.000,00:21:49.533,39270,39286
311,00:21:49.533,00:21:50.400,39286,39312
312,00:21:50.400,00:21:50.967,39312,39329
313,00:21:50.967,00:21:51.533,39329,39346
314,00:21:51.533,00:21:52.400,39346,39372
315,00:21:52.400,00:21:53.300,39372,39399
316,00:21:53.300,00:21:53.800,39399,39414
317,00:21:53.800,00:21:54.333,39414,39430
318,00:21:54.333,00:21:54.833,39430,39445
319,00:21:54.833,00:21:55.400,39445,39462
320,00:21:55.400,00:21:56.433,39462,39493
321,00:21:56.433,00:21:57.233,39493,39517
322,00:21:57.233,00:21:57.967,39517,39539
323,00:21:57.967,00:21:58.533,39539,39556
324,00:21:58.533,00:21:59.867,39556,39596
325,00:21:59.867,00:22:00.400,39596,39612
326,00:22:00.400,00:22:00.933,39612,39628
327,00:22:00.933,00:22:01.533,39628,39646
328,00:22:01.533,00:22:02.033,39646,39661
329,00:22:02.033,00:22:02.567,39661,39677
330,00:22:02.567,00:22:03.067,39677,39692
331,00:22:03.067,00:22:03.567,39692,39707
332,00:22:03.567,00:22:04.233,39707,39727
333,00:22:04.233,00:22:05.100,39727,39753
334,00:22:05.100,00:22:05.633,39753,39769
335,00:22:05.633,00:22:06.133,39769,39784
336,00:22:06.133,00:22:06.767,39784,39803
337,00:22:06.767,00:22:07.433,39803,39823
338,00:22:07.433,00:23:19.133,39823,41974
339,00:23:19.133,00:24:56.467,41974,44894
340,00:24:56.467,00:24:57.700,44894,44931
341,00:24:57.700,00:24:59.767,44931,44993
342,00:24:59.767,00:25:00.300,44993,45009
343,00:25:00.300,00:25:00.933,45009,45028
344,00:25:00.933,00:25:01.433,45028,45043
345,00:25:01.433,00:25:02.033,45043,45061
346,00:25:02.033,00:25:02.633,45061,45079
347,00:25:02.633,00:25:03.367,45079,45101
348,00:25:03.367,00:25:04.433,45101,45133
349,00:25:04.433,00:25:04.967,45133,45149
350,00:25:04.967,00:25:05.533,45149,45166
351,00:25:05.533,00:25:06.233,45166,45187
352,00:25:06.233,00:25:06.833,45187,45205
353,00:25:06.833,00:25:07.433,45205,45223
354,00:25:07.433,00:25:08.033,45223,45241
355,00:25:08.033,00:25:08.533,45241,45256
356,00:25:08.533,00:25:09.133,45256,45274
357,00:25:09.133,00:25:09.833,45274,45295
358,00:25:09.833,00:25:10.533,45295,45316
359,00:25:10.533,00:25:12.233,45316,45367
360,00:25:12.233,00:25:12.833,45367,45385
361,00:25:12.833,00:25:13.567,45385,45407
362,00:25:13.567,00:25:14.633,45407,45439
363,00:25:14.633,00:25:15.333,45439,45460
364,00:25:15.333,00:25:15.833,45460,45475
365,00:25:15.833,00:25:16.433,45475,45493
366,00:25:16.433,00:25:16.933,45493,45508
367,00:25:16.933,00:25:17.800,45508,45534
368,00:25:17.800,00:25:18.467,45534,45554
369,00:25:18.467,00:25:25.200,45554,45756
370,00:25:25.200,00:25:26.533,45756,45796
371,00:25:26.533,00:26:34.367,45796,47831
372,00:26:34.367,00:26:35.400,47831,47862
373,00:26:35.400,00:27:11.700,47862,48951
374,00:27:11.700,00:27:15.733,48951,49072
375,00:27:15.733,00:27:16.900,49072,49107
376,00:27:16.900,00:27:18.067,49107,49142
377,00:27:18.067,00:27:18.733,49142,49162
378,00:27:18.733,00:27:19.333,49162,49180
379,00:27:19.333,00:27:20.200,49180,49206
